DATA_EMISSAO;DATA_EMBARQUE;HORA_EMBARQUE;CIA_BILHETE;TRECHO;ORIGEM;DESTINO;CUPOM;BILHETE;TIPO;CABINE;CIA_VOO;VALOR_BRL;EMPRESA;CNPJ;IATA_AGENCIA;BASE_VENDA;QTD_PAX;NUM_VOO;CONSOLIDADA
26/06/2019;12/07/2019;23:59;JJ;SDU/CGH/SDU;CGH;SDU;2;125;N;Z;ZZ;0;1;;9999999999;SAO;1;;
26/06/2019;11/07/2019;23:59;JJ;SDU/CGH/SDU;SDU;CGH;1;126;N;Z;ZZ;0;1;;9999999999;SAO;1;;
26/06/2019;12/07/2019;23:59;JJ;SDU/CGH/SDU;CGH;SDU;2;126;N;Z;ZZ;0;1;;9999999999;SAO;1;;
26/06/2019;02/07/2019;23:59;G3;CGH/BSB/CGH;CGH;BSB;1;127;N;Z;ZZ;2.589,80;175;;9999999999;SAO;1;;
26/06/2019;02/07/2019;23:59;G3;CGH/BSB/CGH;BSB;CGH;2;127;N;Z;ZZ;2.589,80;175;;9999999999;SAO;1;;
26/06/2019;03/07/2019;23:59;G3;GRU/BSB/STM;GRU;BSB;1;128;N;Z;ZZ;580,46;1;;9999999999;SAO;1;;
26/06/2019;03/07/2019;23:59;G3;GRU/BSB/STM;BSB;STM;2;128;N;Z;ZZ;580,46;1;;9999999999;SAO;1;;
26/06/2019;11/07/2019;23:59;JJ;SDU/CGH/SDU;SDU;CGH;1;129;N;Z;ZZ;0;1;;9999999999;SAO;1;;
26/06/2019;12/07/2019;23:59;JJ;SDU/CGH/SDU;CGH;SDU;2;129;N;Z;ZZ;0;1;;9999999999;SAO;1;;
26/06/2019;27/06/2019;23:59;JJ;BEL/BSB/SDU;BEL;BSB;1;13;N;Z;ZZ;1.538,50;1;;9999999999;SAO;1;;
26/06/2019;27/06/2019;23:59;JJ;BEL/BSB/SDU;BSB;SDU;2;13;N;Z;ZZ;1.538,50;1;;9999999999;SAO;1;;
